k_component,pca_component,scaler,sharpness,avg_accuracy
10,,,1.0,0.44520000000000004
11,,,1.0,0.4593999999999999
12,,,1.0,0.4764000000000001
13,,,1.0,0.5042
14,,,1.0,0.5136000000000002
10,500,,1.0,0.4336
11,500,,1.0,0.4506
12,500,,1.0,0.4895999999999999
13,500,,1.0,0.4878
14,500,,1.0,0.5096
10,550,,1.0,0.445
11,550,,1.0,0.46120000000000005
12,550,,1.0,0.47439999999999993
13,550,,1.0,0.4875999999999999
14,550,,1.0,0.5026
10,600,,1.0,0.4444000000000001
11,600,,1.0,0.47100000000000003
12,600,,1.0,0.48119999999999996
13,600,,1.0,0.5072000000000001
14,600,,1.0,0.5142
10,650,,1.0,0.44359999999999994
11,650,,1.0,0.46340000000000003
12,650,,1.0,0.48140000000000005
13,650,,1.0,0.4912
14,650,,1.0,0.503
10,700,,1.0,0.445
11,700,,1.0,0.4799999999999999
12,700,,1.0,0.47840000000000005
13,700,,1.0,0.4942
14,700,,1.0,0.5092
10,450,,1.0,0.4558
11,450,,1.0,0.47100000000000003
12,450,,1.0,0.4758
13,450,,1.0,0.5008
14,450,,1.0,0.5104
10,,StandardScaler,1.0,0.4416000000000001
11,,StandardScaler,1.0,0.4742
12,,StandardScaler,1.0,0.4806
13,,StandardScaler,1.0,0.4866
14,,StandardScaler,1.0,0.5004
10,500,StandardScaler,1.0,0.38920000000000016
11,500,StandardScaler,1.0,0.3934000000000001
12,500,StandardScaler,1.0,0.4099999999999999
13,500,StandardScaler,1.0,0.42979999999999996
14,500,StandardScaler,1.0,0.4620000000000001
10,550,StandardScaler,1.0,0.38079999999999997
11,550,StandardScaler,1.0,0.389
12,550,StandardScaler,1.0,0.415
13,550,StandardScaler,1.0,0.4318
14,550,StandardScaler,1.0,0.4432
10,600,StandardScaler,1.0,0.36920000000000003
11,600,StandardScaler,1.0,0.4012
12,600,StandardScaler,1.0,0.4150000000000001
13,600,StandardScaler,1.0,0.42680000000000007
14,600,StandardScaler,1.0,0.446
10,650,StandardScaler,1.0,0.3722
11,650,StandardScaler,1.0,0.40820000000000006
12,650,StandardScaler,1.0,0.408
13,650,StandardScaler,1.0,0.42139999999999994
14,650,StandardScaler,1.0,0.4266
10,700,StandardScaler,1.0,0.38499999999999995
11,700,StandardScaler,1.0,0.39980000000000004
12,700,StandardScaler,1.0,0.4102000000000001
13,700,StandardScaler,1.0,0.4192000000000001
14,700,StandardScaler,1.0,0.44299999999999995
10,450,StandardScaler,1.0,0.39039999999999997
11,450,StandardScaler,1.0,0.3932
12,450,StandardScaler,1.0,0.4146
13,450,StandardScaler,1.0,0.4211999999999999
14,450,StandardScaler,1.0,0.4484
10,,GrayScaler,1.0,0.44180000000000014
11,,GrayScaler,1.0,0.46520000000000006
12,,GrayScaler,1.0,0.48219999999999996
13,,GrayScaler,1.0,0.5114
14,,GrayScaler,1.0,0.512
10,500,GrayScaler,1.0,0.4512
11,500,GrayScaler,1.0,0.4734
12,500,GrayScaler,1.0,0.48419999999999996
13,500,GrayScaler,1.0,0.4997999999999999
14,500,GrayScaler,1.0,0.5082
10,550,GrayScaler,1.0,0.44160000000000005
11,550,GrayScaler,1.0,0.46919999999999995
12,550,GrayScaler,1.0,0.4658
13,550,GrayScaler,1.0,0.49140000000000006
14,550,GrayScaler,1.0,0.5104
10,600,GrayScaler,1.0,0.45080000000000015
11,600,GrayScaler,1.0,0.45580000000000004
12,600,GrayScaler,1.0,0.4768
13,600,GrayScaler,1.0,0.4993999999999999
14,600,GrayScaler,1.0,0.512
10,650,GrayScaler,1.0,0.4458
11,650,GrayScaler,1.0,0.4797999999999999
12,650,GrayScaler,1.0,0.4721999999999999
13,650,GrayScaler,1.0,0.49199999999999994
14,650,GrayScaler,1.0,0.5078000000000001
10,700,GrayScaler,1.0,0.4517999999999999
11,700,GrayScaler,1.0,0.4636
12,700,GrayScaler,1.0,0.4780000000000001
13,700,GrayScaler,1.0,0.499
14,700,GrayScaler,1.0,0.5008
10,450,GrayScaler,1.0,0.4508
11,450,GrayScaler,1.0,0.47280000000000016
12,450,GrayScaler,1.0,0.47019999999999995
13,450,GrayScaler,1.0,0.49759999999999993
14,450,GrayScaler,1.0,0.5227999999999999
10,,,1.5,0.43579999999999997
11,,,1.5,0.47039999999999993
12,,,1.5,0.4738
13,,,1.5,0.4936
14,,,1.5,0.5035999999999999
10,500,,1.5,0.4426
